,Poster_ID,Poster_Location
0,R_Os4UTbWSvpsM29X,1a
1,R_D1z9C1G8mJyH1nj,1b
2,R_2QMNyq5txUsv9K8,1c
3,R_SOuSufsrs5sc6Nr,1d
4,0,1e
5,0,1f
6,R_2YX5zmGuVOkyo31,2a
7,R_1FKugNv4X226c4D,2b
8,R_1o0GCSuGIjWJzQC,2c
9,R_2coyLEw4CRgumZc,2d
10,R_2dFOG2fjssFaDlE,2e
11,R_1OlXFynLt03cp6J,2f
12,R_1P0Fcu2jhVDwoTu,3a
13,R_eyAdxDWfG9d7rMh,3b
14,R_OONmMuTxMksQZGh,3c
15,R_2t8MIvu2t2dsdVv,3d
16,R_1mWw6kCfGXdN1aJ,3e
17,R_1kYLLg96i7dtJzG,3f
18,R_3MPzScznegMX11z,4a
19,R_e9Z6B3JY1hw2ekN,4b
20,R_2xRcNtQm4xteO81,4c
21,R_31cQynw7ijFfY5H,4d
22,R_AEToXdfZf3XVxx7,4e
23,R_z0i36bUoEAu9TP3,4f
24,R_3p4ozs26mLTtS3u,5a
25,R_22mnvmksG5DApzR,5b
26,R_9t4F3K7VrtOzD0d,5c
27,R_210PQqQpojF9AHi,5d
28,R_3kiHkfnn5WTDdkI,5e
29,R_1mjUwPisBSab6Xx,5f
30,R_RsLXtnXKvy5m6S5,6a
31,R_1JWq8aiygxnpwI6,6b
32,R_3C32En8QiAZr7uZ,6c
33,R_1gckYcGVSVA2ux7,6d
34,R_2zZ5mBy2zJQ6AIB,6e
35,R_1jV9oNnBUT88oqi,6f
36,R_3O1FI6Brt9kzgGf,7a
37,R_6FfIbNoFM3xacSJ,7b
38,R_2pLVHP7JYn4kpzJ,7c
39,R_1pKwOZvPuBJolUg,7d
40,R_31LtUVAw2iGvkPA,7e
41,R_1gqnQOZJkd4u2ii,7f
42,R_1P7ZgvgYG5696sg,8a
43,R_1LjkQBauyCRGmJb,8b
44,R_UgUJMv1EVu8aCNH,8c
45,R_3ME6Io0fRu5Lk3L,8d
46,R_2pY6s13N4pylG4l,8e
47,R_bpSl9UQAeht0GHf,8f
